sep=,
"time","metric"," "
2025-05-18 22:00:00,Unknown,12.0 K
2025-05-18 23:00:00,Alum,38.1 K
2025-05-18 23:00:00,Faculty,17.5 Mil
2025-05-18 23:00:00,Staff,113 K
2025-05-18 23:00:00,Student,2.22 Mil
2025-05-18 23:00:00,Unknown,29.1 K
2025-05-19 00:00:00,Alum,119 K
2025-05-19 00:00:00,Faculty,491 K
2025-05-19 00:00:00,Staff,80.9 K
2025-05-19 00:00:00,Student,1.92 Mil
2025-05-19 00:00:00,Unknown,95.7 K
2025-05-19 01:00:00,Faculty,4.18 Mil
2025-05-19 01:00:00,Student,666 K
2025-05-19 01:00:00,Unknown,132 K
2025-05-19 02:00:00,Student,164 K
2025-05-19 03:00:00,Student,344 K
2025-05-19 04:00:00,Student,515 K
2025-05-19 05:00:00,Faculty,600
2025-05-19 05:00:00,Member,11.0 K
2025-05-19 05:00:00,Staff,2.31 K
2025-05-19 05:00:00,Student,174 K
2025-05-19 06:00:00,Faculty,5.59 K
2025-05-19 06:00:00,Member,12.2 K
2025-05-19 06:00:00,Staff,1.91 K
2025-05-19 06:00:00,Student,264 K
2025-05-19 06:00:00,Unknown,39.9 K
2025-05-19 07:00:00,Faculty,6.96 K
2025-05-19 07:00:00,Member,145 K
2025-05-19 07:00:00,Staff,30.5 K
2025-05-19 07:00:00,Student,408 K
2025-05-19 07:00:00,Unknown,165 K
2025-05-19 08:00:00,Faculty,53.2 K
2025-05-19 08:00:00,Member,97.1 K
2025-05-19 08:00:00,Staff,98.3 K
